,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,2,1,3,0,0,5,1,1,6,4,7,6,4,0,0,1,76431543.68310125,0.0,109969406.78963181,0.0009151512798765784,86175555.67869377,0.0,45191261.99167799,0.0,25907360.96875244,0.0001443471763699957,1285900000.0,339.1390444808727
1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9,0,1,0,0,2,0,2,0,2,2,1,0,0,7,129503908.60174897,0.0,65314484.09024657,0.026082562494373514,33196918.511546925,0.023932188113568783,22403857.762533523,0.0,44193513.54513965,0.0,538900000.0,0.0
2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,7,3,2,5,4,5,7,0,4,5,32694901.094161935,0.0,136034465.60125798,0.017214107372903055,82783545.95987594,0.0,41653687.49951889,0.0,98238010.3999553,0.02533804330279974,199900000.0,0.0
3,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,6,6,3,0,6,0,3,0,0,4,6,5,3,3,0,198290086.51239914,0.0,77914714.65996997,0.013700645917730885,24198032.45136138,0.0,39581182.89776003,0.0,63921995.57957761,0.0,807000000.0,0.0
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,7,3,1,2,4,5,7,0,6,5,32694901.094161935,0.0,226690981.82178843,0.0,77634151.07629387,0.012677016830231293,41653687.49951889,0.0,124596672.11602634,0.0440613529403219,84600000.0,0.0
5,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,5,0,1,1,3,7,5,4,0,0,5,32694901.094161935,0.0,66042105.003764264,0.0027526090789230387,67172241.44960354,0.0,42775327.947975025,0.0,66691199.572606884,0.012010140667050187,523300000.0,1338.4091462500915
6,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,3,7,8,6,0,1,6,0,6,5,0,0,0,111738176.02288951,0.0,285470923.06059474,0.0,68455291.91556765,0.03428847635684565,28163733.328815505,0.0012136364329869388,7455746.606351422,0.00829280909911574,357700000.0,0.0
7,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3,1,3,7,8,6,0,1,6,0,9,6,0,0,0,126829027.92959374,0.0,285470923.06059474,0.0,68455291.91556765,0.03428847635684565,37211044.889663614,0.0012136364329869388,7455746.606351422,0.00829280909911574,273100000.0,0.0
8,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,3,5,6,0,0,7,0,2,0,1,3,4,0,0,1,181430221.6229285,0.0,86579454.41699861,0.015292272660683547,26643541.479977403,0.009717393203406558,26796679.0348598,0.00041097585841186465,52124296.88874476,0.03010312594266723,523300000.0,0.0
9,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,2,1,8,2,8,7,0,2,7,0,1,6,0,0,0,156613725.01964405,0.0,235243842.81079578,0.003446128562625658,69000460.34426656,0.022306901029326903,22197614.30011794,0.0017625078840386654,7455746.606351422,0.00829280909911574,575500000.0,0.0
10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,10,0,0,0,0,0,1,5,6,3,7,92684346.17071748,0.018940079581030715,109313385.59732915,0.0113013837427373,41302545.56796614,0.08991874890316268,20413699.18922565,0.0016201818421596784,137202819.23217666,0.0,151900000.0,0.0
11,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,4,0,1,0,0,7,10,1,2,4,0,5,0,82177854.37813279,0.0,58920876.01250182,0.0240777561261043,100268999.53942443,0.021887593591099614,24626847.251278743,0.0,36676675.840294495,0.0,538900000.0,0.0
12,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,2,7,6,1,1,6,5,0,0,66507014.9338145,0.0,61058558.31487693,0.026604652816285875,101253886.02194163,0.0,26318922.396294314,0.0,36676675.840294495,0.0,807000000.0,0.0
13,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,5,0,6,2,4,3,1,2,0,47847947.961454235,0.0,56419706.060587704,0.06476946505071088,65941184.48239788,0.0,28042731.117693808,0.0,53557815.768892445,0.0,556800000.0,0.0
14,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,7,3,1,7,0,0,7,0,1,6,0,0,0,147588218.69105962,0.0,174503847.3135317,0.0006056103644760633,80076561.41927394,0.10078322288622162,20658351.025349297,0.0007824373847267773,19944406.808782104,0.022233655586395475,205800000.0,0.0
15,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,3,5,0,0,0,0,0,5,1,5,0,0,1,0,101988088.03595176,0.0,15911202.139064435,0.01820729971114056,30572309.32801691,0.003820679509932838,18593212.73447253,0.0005503241538439125,40485144.76430281,0.017111884751984795,733500000.0,0.0
16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2,9,7,3,0,3,0,0,9,5,0,2,0,158579616.9901709,0.05177507846914292,271096915.7933486,0.0,25086210.49302183,0.0019151847396763758,35077740.98981888,0.0011454451148802233,60252981.25546039,0.036950055016752616,30700000.0,0.0
17,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,5,0,5,7,0,0,0,37255203.23710208,0.0,54392250.304739185,0.01868790155389932,37765228.2151435,0.019495785796655812,30872665.838653445,0.0017900696224919222,35933332.181041956,0.039769093615152545,485000000.0,0.0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,6,2,0,6,5,0,1,3,0,3,1,97791770.1940225,0.05177507846914292,199502185.3342409,0.0,92416640.98285004,0.055884374348337776,18879827.009486448,0.0024537651051232943,59457498.779140584,0.0016149464621337249,0.0,0.0
19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,9,6,0,0,0,1,1,5,0,5,1,0,0,5,329386210.1227801,0.0,35608833.65959528,0.04110193775319265,76938953.88022968,0.01058756557005101,22570045.337498114,0.00240126233730608,78821324.75623345,0.04660616266671361,115300000.0,0.0
20,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,2,0,9,0,1,0,0,3,1,5,6,3,7,117082403.28846318,0.0034092143245855284,95323770.0021244,0.002207850178070705,20299287.62732069,0.0,28105580.528124608,0.0,137202819.23217666,0.0,92100000.0,284.0899021704503
21,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,2,0,1,0,0,1,0,0,0,9,6,3,7,123160065.37420565,0.009470039790515358,52176560.2532365,0.016230546563393462,31147741.861858226,0.023743537548917733,27321625.978037104,0.005681207124132183,137202819.23217666,0.0,61400000.0,0.0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,6,0,0,1,0,1,5,0,1,2,0,0,5,266985601.05038312,0.0,84405536.18279758,0.053488855668360924,82626988.19404632,0.07074984709921585,15649017.541330827,0.0010192095026589434,42004086.13178966,0.005866448394259873,0.0,0.0
