0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,2,10,3,2,4,0,4,10,5,9,10,4,8,10,6,0,211949095.81582433,0.0,114392792.32657647,0.0,151735096.47011566,0.0,59735688.64462541,0.0,114533149.21491536,0.0,856400000.0,0.0
1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,3,9,0,1,2,8,4,3,1,10,9,6,4,1,3,8,129503908.60174897,0.0,204579583.17113626,2.374368431592897e-05,97225532.23215315,0.0,51223587.79052691,0.0,114978351.46503219,0.00041727574744465147,1031500000.0,251.26980937408578
0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,4,9,0,3,8,3,0,10,8,6,8,3,2,1,4,8,142489096.8745909,0.0,143874485.18893084,0.0,153877047.9505074,0.0,37779961.10367436,0.0,120361734.70665114,0.00046573306445027603,862300000.0,312.5045810775707
0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,6,8,7,2,4,6,8,4,6,10,5,4,9,5,4,263124082.52035663,0.0,180682752.5903782,0.0,118822681.190586,0.0,51922044.18502923,0.0,156165857.55979902,0.0,733500000.0,0.0
1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,3,8,8,8,6,7,3,2,0,3,1,3,0,2,0,237099180.17650723,0.0,285041616.7545879,0.0,48716867.66610375,0.0,25113995.726980142,0.0,55061902.961214304,0.01107061484998612,1051100000.0,1024.3011282566033
1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,6,7,5,4,0,6,2,2,8,6,7,3,1,0,4,227611503.21716845,0.0,128904282.88717857,0.0,88525007.82793877,0.0,43117304.03088222,0.0,66509640.088092,0.002794398386701656,1031500000.0,259.7440673891497
1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,2,10,1,7,0,4,1,1,8,4,9,0,10,0,3,4,239466324.45281267,0.0,104598270.63666184,0.0012897854391037346,94584862.33089855,0.0,45726176.65380286,0.0,75261435.78632958,0.0013208312797680858,1215000000.0,902.1513629410713
1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,3,8,2,9,3,5,6,9,2,8,5,1,0,10,6,2,244357298.97751394,0.0,199966545.06619623,0.0,124561631.23797515,0.0,18545877.781152677,0.0,161744138.6352262,0.0,661800000.0,0.0
1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,4,10,10,3,5,6,4,9,5,10,2,8,10,2,0,2,311007830.76317513,0.0,214755434.29165137,0.0,150348309.4904164,0.0,53085317.71161516,0.0,57073405.013273194,0.0,478900000.0,0.0
1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,10,4,1,1,10,7,4,8,0,7,1,0,4,2,2,214395412.82215732,0.0,250516669.62907064,0.0013582211811724023,69051880.14680123,0.0,22258486.725668453,0.0,98660546.19192025,0.0,813700000.0,104.31334108805879
0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,2,8,1,4,2,1,7,10,7,0,3,7,2,0,3,4,183820053.38731658,0.0,165481676.5633424,0.00011899353980188917,92102587.19999316,0.0,34487650.76874334,0.0,67268466.33257627,0.0,1682800000.0,35.450809538460845
0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,6,4,8,3,1,9,5,3,4,7,7,1,6,9,0,226020801.4478343,0.0,193081303.9834115,0.0,91969144.10934505,0.0,42422238.37366619,0.0,105251142.62461421,0.0,448400000.0,0.0
